HeroID,Class,Lane,Item1,Item2,Item3,Item4,Item5,Item6,TrueScore,NoisyScore,CombatPower
H001,Warrior,Mid,I017,I085,I061,I071,,,106.05,99.01,99.01
H001,Warrior,Mid,I034,I068,I078,I055,,,136.4,137.74,137.74
H001,Warrior,Mid,I070,I097,I094,I089,,,101.27,105.0,105.0
H001,Warrior,Mid,I092,I040,I052,I086,,,77.95,78.62,78.62
H001,Warrior,Mid,I048,I057,I067,I058,I016,I032,123.06,122.35,122.35
H001,Warrior,Mid,I009,I044,I003,I076,,,102.34,100.8,100.8
H001,Warrior,Mid,I030,I076,I029,I001,I010,I091,94.89,87.87,87.87
H001,Warrior,Mid,I008,I030,I009,I005,I043,I010,81.08,78.16,78.16
H001,Warrior,Mid,I031,I036,I086,I063,I028,I070,133.84,130.75,130.75
H001,Warrior,Mid,I093,I074,I061,I032,,,93.58,98.53,98.53
H001,Warrior,Mid,I104,I053,I025,I013,I085,,121.62,123.71,123.71
H001,Warrior,Mid,I046,I055,I053,I060,I094,,86.43,78.81,78.81
H001,Warrior,Mid,I087,I084,I083,I013,,,100.65,102.28,102.28
H001,Warrior,Mid,I052,I094,I044,I103,,,71.58,70.2,70.2
H001,Warrior,Mid,I032,I025,I069,I058,,,141.81,137.01,137.01
H001,Warrior,Mid,I055,I024,I036,I060,,,80.68,83.15,83.15
H001,Warrior,Mid,I010,I057,I104,I071,,,87.93,92.46,92.46
H001,Warrior,Mid,I007,I084,I070,I108,,,121.67,127.34,127.34
H001,Warrior,Mid,I012,I097,I109,I031,,,79.05,75.73,75.73
H001,Warrior,Mid,I053,I063,I062,I028,,,104.32,102.71,102.71
H001,Warrior,Mid,I008,I022,I049,I001,I050,,85.95,87.37,87.37
H001,Warrior,Mid,I101,I059,I037,I055,I090,,75.03,78.7,78.7
H001,Warrior,Mid,I101,I072,I085,I092,I063,I020,117.35,114.54,114.54
H001,Warrior,Mid,I038,I028,I008,I075,,,103.17,102.21,102.21
H001,Warrior,Mid,I070,I008,I096,I041,I007,I075,139.8,132.07,132.07
H001,Warrior,Mid,I065,I068,I021,I008,I066,,136.3,128.15,128.15
H001,Warrior,Mid,I109,I024,I009,I077,,,97.9,101.88,101.88
H001,Warrior,Mid,I087,I031,I052,I016,,,89.12,95.16,95.16
H001,Warrior,Mid,I032,I075,I077,I006,I080,I011,146.7,146.17,146.17
H001,Warrior,Mid,I085,I075,I073,I067,I041,,156.35,164.2,164.2
H001,Warrior,Mid,I027,I086,I092,I041,I031,,85.37,86.91,86.91
H001,Warrior,Mid,I051,I017,I086,I083,I039,,93.78,90.75,90.75
H001,Warrior,Mid,I041,I097,I010,I002,I059,,84.44,85.97,85.97
H001,Warrior,Mid,I073,I013,I010,I069,I028,I065,177.33,190.97,190.97
H001,Warrior,Mid,I017,I045,I009,I032,I048,,84.87,84.72,84.72
H001,Warrior,Mid,I021,I057,I107,I070,I091,,113.78,122.69,122.69
H001,Warrior,Mid,I079,I104,I084,I068,I002,,120.93,105.09,105.09
H001,Warrior,Mid,I105,I071,I039,I085,I014,I018,117.46,122.29,122.29
H001,Warrior,Mid,I015,I014,I096,I071,I020,,123.03,123.57,123.57
H001,Warrior,Mid,I037,I078,I027,I092,I044,,129.19,127.26,127.26
H001,Warrior,Mid,I088,I082,I034,I065,,,98.5,98.96,98.96
H001,Warrior,Mid,I033,I109,I007,I012,I082,,88.45,79.66,79.66
H001,Warrior,Mid,I107,I036,I006,I001,I043,,85.35,84.41,84.41
H001,Warrior,Mid,I082,I034,I021,I095,,,83.68,85.17,85.17
H001,Warrior,Mid,I071,I091,I055,I072,I002,,106.97,114.87,114.87
H001,Warrior,Mid,I010,I089,I020,I070,,,115.31,112.33,112.33
H001,Warrior,Mid,I107,I048,I075,I071,,,110.44,105.98,105.98
H001,Warrior,Mid,I056,I017,I006,I040,,,99.73,97.23,97.23
H001,Warrior,Mid,I102,I006,I046,I027,I088,,83.33,87.14,87.14
H001,Warrior,Mid,I086,I014,I046,I100,,,80.77,82.09,82.09
H001,Warrior,Mid,I053,I080,I096,I020,I031,I021,119.69,116.51,116.51
H001,Warrior,Mid,I053,I004,I023,I095,,,82.92,85.05,85.05
H001,Warrior,Mid,I101,I053,I103,I086,I095,,77.85,78.23,78.23
H001,Warrior,Mid,I035,I021,I101,I090,,,81.06,84.99,84.99
H001,Warrior,Mid,I049,I005,I061,I029,,,78.73,75.97,75.97
H001,Warrior,Mid,I105,I059,I045,I040,,,80.66,79.34,79.34
H001,Warrior,Mid,I029,I004,I085,I025,,,101.53,99.54,99.54
H001,Warrior,Mid,I043,I036,I009,I099,I045,,80.31,74.44,74.44
H001,Warrior,Mid,I066,I052,I087,I108,I069,I043,140.09,142.17,142.17
H001,Warrior,Mid,I015,I034,I023,I075,,,110.8,112.24,112.24
H001,Warrior,Mid,I005,I014,I077,I056,I045,,116.07,116.1,116.1
H001,Warrior,Mid,I101,I041,I056,I078,I066,I015,186.3,184.11,184.11
H001,Warrior,Mid,I074,I025,I033,I006,I091,,128.08,119.02,119.02
H001,Warrior,Mid,I001,I067,I104,I069,I088,,123.84,121.24,121.24
H001,Warrior,Mid,I095,I086,I026,I047,I056,I009,91.17,89.61,89.61
H001,Warrior,Mid,I043,I080,I041,I085,I109,I016,128.08,122.94,122.94
H001,Warrior,Mid,I039,I065,I040,I086,I053,I042,112.68,111.77,111.77
H001,Warrior,Mid,I090,I038,I071,I017,I025,,126.69,129.24,129.24
H001,Warrior,Mid,I086,I049,I087,I096,I023,,88.94,97.33,97.33
H001,Warrior,Mid,I073,I039,I052,I071,I107,I001,122.22,123.29,123.29
H001,Warrior,Mid,I037,I027,I056,I101,I075,,99.94,101.22,101.22
H001,Warrior,Mid,I084,I042,I060,I057,I087,I028,110.8,110.38,110.38
H001,Warrior,Mid,I061,I102,I095,I022,I085,I011,104.78,94.72,94.72
H001,Warrior,Mid,I066,I085,I082,I080,I043,,123.38,123.22,123.22
H001,Warrior,Mid,I105,I097,I031,I087,,,74.32,74.55,74.55
H001,Warrior,Mid,I029,I104,I026,I019,I004,,77.99,87.59,87.59
H001,Warrior,Mid,I032,I061,I079,I109,,,111.9,110.82,110.82
H001,Warrior,Mid,I059,I054,I081,I074,,,94.68,96.1,96.1
H001,Warrior,Mid,I092,I090,I050,I064,,,97.56,97.39,97.39
H001,Warrior,Mid,I032,I019,I084,I089,I001,,82.4,77.58,77.58
H001,Warrior,Mid,I100,I055,I029,I023,,,75.86,80.19,80.19
H001,Warrior,Mid,I067,I060,I007,I072,I032,I109,132.88,137.87,137.87
H001,Warrior,Mid,I059,I018,I103,I060,,,97.35,101.2,101.2
H001,Warrior,Mid,I068,I072,I077,I041,I097,I057,133.48,127.41,127.41
H001,Warrior,Mid,I105,I093,I065,I055,I107,I071,117.05,125.25,125.25
H001,Warrior,Mid,I021,I096,I061,I058,I034,,102.28,95.11,95.11
H001,Warrior,Mid,I108,I082,I036,I099,,,85.05,87.54,87.54
H001,Warrior,Mid,I063,I081,I031,I036,I057,I010,78.32,86.9,86.9
H001,Warrior,Mid,I037,I031,I035,I043,I041,I070,119.45,113.53,113.53
H001,Warrior,Mid,I018,I020,I030,I050,,,94.45,91.78,91.78
H001,Warrior,Mid,I020,I091,I028,I009,I054,I053,109.22,109.77,109.77
H001,Warrior,Mid,I070,I060,I054,I008,I027,,115.25,112.34,112.34
H001,Warrior,Mid,I050,I099,I075,I090,I003,,91.94,84.82,84.82
H001,Warrior,Mid,I049,I062,I001,I046,I039,I097,80.94,81.22,81.22
H001,Warrior,Mid,I107,I054,I069,I096,I095,,96.66,91.52,91.52
H001,Warrior,Mid,I103,I078,I029,I063,I035,I056,146.05,149.5,149.5
H001,Warrior,Mid,I004,I050,I044,I086,I087,,84.19,80.32,80.32
H001,Warrior,Mid,I093,I022,I108,I060,I017,,113.97,122.81,122.81
H001,Warrior,Mid,I069,I004,I051,I076,I073,I085,157.46,151.29,151.29
H001,Warrior,Mid,I011,I083,I055,I018,,,94.38,92.86,92.86
H001,Warrior,Mid,I024,I007,I034,I049,I042,,73.26,76.24,76.24
H001,Warrior,Mid,I059,I042,I044,I098,,,77.85,73.06,73.06
H001,Warrior,Mid,I036,I097,I107,I054,I033,,67.72,68.5,68.5
H001,Warrior,Mid,I061,I003,I096,I070,,,107.99,115.05,115.05
H001,Warrior,Mid,I045,I029,I084,I009,,,81.21,74.68,74.68
H001,Warrior,Mid,I006,I097,I004,I032,I026,I108,90.25,91.08,91.08
H001,Warrior,Mid,I080,I020,I031,I017,,,109.04,110.46,110.46
H001,Warrior,Mid,I086,I015,I073,I028,I060,,142.11,147.67,147.67
H001,Warrior,Mid,I033,I099,I048,I022,I078,I096,142.25,133.45,133.45
H001,Warrior,Mid,I015,I100,I105,I021,I040,I014,105.97,98.97,98.97
H001,Warrior,Mid,I004,I040,I074,I087,I049,I051,100.58,103.2,103.2
H001,Warrior,Mid,I026,I010,I076,I089,I107,I081,96.44,97.87,97.87
H001,Warrior,Mid,I014,I090,I099,I039,,,78.55,79.53,79.53
H001,Warrior,Mid,I077,I104,I016,I102,I073,I101,138.04,140.44,140.44
H001,Warrior,Mid,I045,I069,I055,I085,,,103.45,99.93,99.93
H001,Warrior,Mid,I009,I065,I083,I044,I002,,114.35,115.68,115.68
H001,Warrior,Mid,I106,I063,I014,I056,I047,,115.86,117.56,117.56
H001,Warrior,Mid,I107,I059,I091,I020,I056,I023,110.24,106.3,106.3
H001,Warrior,Mid,I067,I084,I035,I079,I104,I069,163.87,179.15,179.15
H001,Warrior,Mid,I060,I056,I106,I094,I076,,139.27,142.57,142.57
H001,Warrior,Mid,I042,I032,I107,I012,I036,,79.68,74.93,74.93
H001,Warrior,Mid,I032,I097,I060,I073,I079,,142.53,147.21,147.21
H001,Warrior,Mid,I049,I044,I004,I064,I109,I042,106.0,100.84,100.84
H001,Warrior,Mid,I063,I028,I046,I103,,,90.52,94.08,94.08
H001,Warrior,Mid,I044,I036,I077,I090,I072,,115.5,122.2,122.2
H001,Warrior,Mid,I067,I025,I011,I031,,,124.78,119.66,119.66
H001,Warrior,Mid,I053,I063,I072,I098,I031,I089,102.37,107.3,107.3
H001,Warrior,Mid,I083,I092,I063,I058,I102,,109.24,111.49,111.49
H001,Warrior,Mid,I012,I038,I029,I052,,,77.68,80.87,80.87
H001,Warrior,Mid,I032,I040,I085,I075,I048,I061,105.32,115.31,115.31
H001,Warrior,Mid,I068,I045,I055,I096,I071,I043,104.34,103.05,103.05
H001,Warrior,Mid,I090,I059,I035,I040,I033,,78.03,75.09,75.09
H001,Warrior,Mid,I016,I093,I025,I041,,,123.05,117.57,117.57
H001,Warrior,Mid,I096,I069,I098,I089,,,95.47,91.58,91.58
H001,Warrior,Mid,I025,I028,I095,I062,,,119.73,119.27,119.27
H001,Warrior,Mid,I093,I076,I098,I068,I077,,125.5,127.64,127.64
H001,Warrior,Mid,I013,I107,I025,I038,I030,,109.84,111.36,111.36
H001,Warrior,Mid,I023,I039,I002,I091,I069,,107.63,112.08,112.08
H001,Warrior,Mid,I036,I006,I007,I071,,,102.14,102.21,102.21
H001,Warrior,Mid,I090,I017,I082,I097,I063,,91.28,97.91,97.91
H001,Warrior,Mid,I002,I074,I037,I061,,,93.96,92.71,92.71
H001,Warrior,Mid,I057,I044,I024,I007,I033,,71.97,81.76,81.76
H001,Warrior,Mid,I015,I106,I009,I052,I063,,118.31,122.01,122.01
H001,Warrior,Mid,I074,I081,I088,I007,,,92.49,88.52,88.52
H001,Warrior,Mid,I020,I104,I073,I039,,,111.0,105.06,105.06
H001,Warrior,Mid,I032,I016,I072,I098,,,101.07,103.5,103.5
H001,Warrior,Mid,I078,I077,I102,I080,I029,,173.27,171.33,171.33
H001,Warrior,Mid,I049,I058,I057,I039,I076,I055,112.14,116.14,116.14
H001,Warrior,Mid,I073,I080,I008,I079,I095,,149.07,152.6,152.6
H001,Warrior,Mid,I098,I027,I081,I028,,,84.24,83.93,83.93
H001,Warrior,Mid,I085,I011,I021,I031,I023,,99.69,95.47,95.47
H001,Warrior,Mid,I010,I021,I001,I053,I058,I089,103.06,95.26,95.26
H001,Warrior,Mid,I061,I038,I005,I030,I037,I091,79.84,78.06,78.06
H001,Warrior,Mid,I090,I059,I010,I088,I030,,73.24,76.38,76.38
H001,Warrior,Mid,I101,I102,I081,I076,I085,,107.33,108.47,108.47
H001,Warrior,Mid,I055,I015,I070,I029,,,113.62,106.54,106.54
H001,Warrior,Mid,I020,I035,I106,I019,I010,I008,110.2,111.15,111.15
H001,Warrior,Mid,I102,I040,I077,I096,,,96.25,98.1,98.1
H001,Warrior,Mid,I037,I057,I016,I060,I089,I039,97.05,92.76,92.76
H001,Warrior,Mid,I052,I035,I065,I070,I064,I057,158.71,159.93,159.93
H001,Warrior,Mid,I077,I006,I056,I095,,,109.84,110.16,110.16
H001,Warrior,Mid,I078,I033,I004,I012,I030,,134.72,127.03,127.03
H001,Warrior,Mid,I108,I074,I076,I003,I098,I087,131.39,133.74,133.74
H001,Warrior,Mid,I074,I006,I098,I097,I023,,110.1,113.19,113.19
H001,Warrior,Mid,I067,I084,I057,I036,I024,,95.75,100.94,100.94
H001,Warrior,Mid,I056,I082,I105,I063,I012,I061,111.54,117.41,117.41
H001,Warrior,Mid,I053,I043,I042,I086,I014,,91.64,85.33,85.33
H001,Warrior,Mid,I043,I053,I089,I064,,,100.97,96.23,96.23
H001,Warrior,Mid,I085,I052,I105,I098,I071,,97.84,100.36,100.36
H001,Warrior,Mid,I059,I012,I041,I033,,,92.75,95.13,95.13
H001,Warrior,Mid,I015,I099,I052,I066,I106,,124.05,127.24,127.24
H001,Warrior,Mid,I085,I070,I060,I053,,,126.8,151.23,151.23
H001,Warrior,Mid,I025,I067,I047,I080,,,140.46,144.47,144.47
H001,Warrior,Mid,I081,I057,I098,I007,I027,,71.57,75.64,75.64
H001,Warrior,Mid,I071,I017,I037,I057,I090,,96.28,100.87,100.87
H001,Warrior,Mid,I016,I004,I081,I078,I103,,143.32,147.99,147.99
H001,Warrior,Mid,I091,I021,I040,I071,,,101.19,99.6,99.6
H001,Warrior,Mid,I071,I053,I012,I029,,,100.18,103.98,103.98
H001,Warrior,Mid,I060,I016,I083,I107,,,107.62,103.46,103.46
H001,Warrior,Mid,I064,I092,I038,I066,,,114.47,113.11,113.11
H001,Warrior,Mid,I035,I054,I107,I062,I061,I032,83.11,81.09,81.09
H001,Warrior,Mid,I071,I019,I050,I025,I077,,148.41,149.02,149.02
H001,Warrior,Mid,I096,I018,I009,I036,I099,I102,92.58,103.29,103.29
H001,Warrior,Mid,I044,I101,I065,I035,I106,,118.27,107.23,107.23
H001,Warrior,Mid,I037,I093,I039,I108,,,79.05,81.76,81.76
H001,Warrior,Mid,I075,I085,I063,I020,I058,I069,163.44,150.26,150.26
H001,Warrior,Mid,I045,I043,I071,I098,I070,,128.34,125.31,125.31
H001,Warrior,Mid,I059,I042,I025,I090,I031,,107.19,113.03,113.03
H001,Warrior,Mid,I050,I030,I100,I053,I006,I041,99.34,99.66,99.66
H001,Warrior,Mid,I061,I091,I104,I049,I050,I085,84.75,80.18,80.18
H001,Warrior,Mid,I020,I064,I005,I017,I065,I076,174.05,167.83,167.83
H001,Warrior,Mid,I013,I109,I057,I068,I059,,99.25,102.62,102.62
H001,Warrior,Mid,I093,I019,I053,I084,,,85.41,82.29,82.29
H001,Warrior,Mid,I010,I061,I101,I034,,,73.5,74.3,74.3
H001,Warrior,Mid,I080,I089,I051,I084,I011,,99.93,100.15,100.15
H001,Warrior,Mid,I087,I069,I049,I041,I081,,117.81,113.97,113.97
H001,Warrior,Mid,I098,I063,I070,I005,I080,I009,144.55,160.04,160.04
H001,Warrior,Mid,I081,I088,I037,I030,,,67.81,69.95,69.95
H001,Warrior,Mid,I012,I056,I013,I098,I082,I091,105.9,95.17,95.17
H001,Warrior,Mid,I057,I022,I089,I039,,,81.33,82.08,82.08
H001,Warrior,Mid,I006,I042,I102,I008,,,85.39,82.56,82.56
H001,Warrior,Mid,I046,I048,I056,I019,I032,,88.36,92.12,92.12
H001,Warrior,Mid,I053,I073,I088,I102,I024,I022,118.29,113.6,113.6
H001,Warrior,Mid,I011,I079,I049,I080,,,128.66,127.92,127.92
H001,Warrior,Mid,I031,I064,I075,I019,I030,I060,138.27,141.76,141.76
H001,Warrior,Mid,I033,I059,I086,I002,I103,I060,91.05,94.99,94.99
H001,Warrior,Mid,I087,I070,I021,I010,I057,,117.66,110.6,110.6
H001,Warrior,Mid,I076,I039,I082,I055,I089,,100.44,98.76,98.76
H001,Warrior,Mid,I059,I109,I039,I026,I050,,79.64,77.75,77.75
H001,Warrior,Mid,I014,I031,I049,I074,I046,,97.97,94.77,94.77
H001,Warrior,Mid,I038,I090,I003,I107,I085,I051,77.82,84.69,84.69
H001,Warrior,Mid,I002,I073,I088,I100,I096,,92.26,94.13,94.13
H001,Warrior,Mid,I078,I096,I064,I107,,,153.73,144.03,144.03
H001,Warrior,Mid,I100,I103,I030,I078,I046,,125.93,131.71,131.71
H001,Warrior,Mid,I082,I025,I080,I033,,,122.51,135.51,135.51
H001,Warrior,Mid,I097,I093,I099,I085,I088,I108,83.5,87.81,87.81
H001,Warrior,Mid,I081,I013,I083,I006,,,103.62,95.75,95.75
H001,Warrior,Mid,I101,I057,I005,I075,I047,,93.95,91.68,91.68
H001,Warrior,Mid,I017,I012,I038,I042,I096,I054,85.86,91.29,91.29
H001,Warrior,Mid,I026,I017,I101,I070,,,109.33,105.46,105.46
H001,Warrior,Mid,I068,I065,I035,I107,I022,,120.6,123.28,123.28
H001,Warrior,Mid,I106,I062,I104,I038,I096,,98.57,102.39,102.39
H001,Warrior,Mid,I103,I015,I060,I010,I019,,101.63,96.92,96.92
H001,Warrior,Mid,I087,I093,I051,I109,,,76.84,76.62,76.62
H001,Warrior,Mid,I047,I012,I102,I051,I002,I034,82.66,69.27,69.27
H001,Warrior,Mid,I016,I059,I048,I087,I096,I034,94.27,89.44,89.44
H001,Warrior,Mid,I049,I106,I082,I048,I014,I087,110.33,108.94,108.94
H001,Warrior,Mid,I061,I004,I080,I072,,,116.03,108.79,108.79
H001,Warrior,Mid,I079,I029,I083,I009,I082,,126.64,136.97,136.97
H001,Warrior,Mid,I090,I039,I084,I053,I015,,94.53,87.77,87.77
H001,Warrior,Mid,I006,I005,I039,I064,,,111.4,108.95,108.95
H001,Warrior,Mid,I013,I031,I069,I018,,,120.06,120.84,120.84
H001,Warrior,Mid,I059,I048,I086,I096,I090,,81.78,87.68,87.68
H001,Warrior,Mid,I054,I076,I096,I094,I020,I084,112.91,104.8,104.8
H001,Warrior,Mid,I107,I063,I079,I053,,,116.61,123.39,123.39
H001,Warrior,Mid,I005,I089,I048,I028,I057,,88.93,88.97,88.97
H001,Warrior,Mid,I031,I047,I013,I088,I048,,80.75,76.78,76.78
H001,Warrior,Mid,I083,I046,I008,I051,I036,I025,110.66,113.21,113.21
H001,Warrior,Mid,I109,I106,I059,I012,,,104.56,105.61,105.61
H001,Warrior,Mid,I028,I083,I082,I077,I003,I007,124.91,121.16,121.16
H001,Warrior,Mid,I032,I017,I101,I073,I027,,100.45,100.8,100.8
H001,Warrior,Mid,I107,I098,I071,I027,,,87.56,85.87,85.87
H001,Warrior,Mid,I028,I105,I030,I043,I100,I019,96.62,97.17,97.17
H001,Warrior,Mid,I001,I036,I019,I017,I070,I033,121.18,125.19,125.19
H001,Warrior,Mid,I015,I085,I004,I017,,,92.61,99.95,99.95
H001,Warrior,Mid,I046,I102,I101,I031,,,73.41,68.86,68.86
H001,Warrior,Mid,I042,I003,I023,I034,I007,I017,90.67,100.34,100.34
H001,Warrior,Mid,I054,I068,I015,I096,I009,I061,105.0,94.76,94.76
H001,Warrior,Mid,I100,I047,I066,I076,I014,,123.1,122.17,122.17
H001,Warrior,Mid,I065,I029,I079,I006,I094,,139.46,143.56,143.56
H001,Warrior,Mid,I067,I039,I059,I083,I004,I008,109.58,111.12,111.12
H001,Warrior,Mid,I109,I052,I055,I088,I014,,80.81,78.3,78.3
H001,Warrior,Mid,I092,I057,I010,I011,I042,,73.84,73.07,73.07
H001,Warrior,Mid,I019,I009,I017,I036,I080,I082,118.39,115.47,115.47
H001,Warrior,Mid,I071,I092,I042,I049,I077,I068,123.52,119.88,119.88
H001,Warrior,Mid,I059,I065,I078,I056,I013,,181.64,189.36,189.36
H001,Warrior,Mid,I015,I084,I099,I071,I093,I028,121.98,124.16,124.16
H001,Warrior,Mid,I058,I030,I053,I044,I106,,113.07,109.15,109.15
H001,Warrior,Mid,I052,I054,I094,I013,I041,,94.25,98.48,98.48
H001,Warrior,Mid,I041,I086,I033,I048,I020,,100.92,102.48,102.48
H001,Warrior,Mid,I061,I009,I012,I107,I011,I056,107.77,112.16,112.16
H001,Warrior,Mid,I096,I095,I048,I104,,,70.05,72.26,72.26
H001,Warrior,Mid,I072,I008,I076,I043,,,115.83,111.02,111.02
H001,Warrior,Mid,I016,I053,I046,I086,I097,I055,92.78,90.18,90.18
H001,Warrior,Mid,I007,I037,I077,I040,I046,I014,104.36,108.26,108.26
H001,Warrior,Mid,I065,I028,I020,I085,I062,I029,137.55,141.74,141.74
H001,Warrior,Mid,I045,I109,I072,I048,,,95.86,95.76,95.76
H001,Warrior,Mid,I098,I036,I074,I029,,,88.02,88.53,88.53
H001,Warrior,Mid,I109,I072,I099,I105,I080,,115.25,122.62,122.62
H001,Warrior,Mid,I087,I083,I072,I004,I078,I085,170.92,165.86,165.86
H001,Warrior,Mid,I035,I004,I024,I090,I098,I040,74.52,76.56,76.56
H001,Warrior,Mid,I045,I001,I024,I019,I073,,107.08,105.99,105.99
H001,Warrior,Mid,I052,I009,I019,I095,I082,I004,92.88,91.86,91.86
H001,Warrior,Mid,I096,I068,I028,I049,,,94.12,99.3,99.3
H001,Warrior,Mid,I059,I044,I021,I048,I040,,91.92,95.71,95.71
H001,Warrior,Mid,I042,I100,I073,I077,I011,I007,126.48,131.62,131.62
H001,Warrior,Mid,I021,I097,I080,I007,,,101.61,108.24,108.24
H001,Warrior,Mid,I011,I035,I057,I085,I055,I063,85.87,85.96,85.96
H001,Warrior,Mid,I057,I054,I035,I028,I097,I066,103.56,107.09,107.09
H001,Warrior,Mid,I045,I056,I015,I037,,,93.72,92.27,92.27
H001,Warrior,Mid,I087,I076,I063,I068,I086,I040,128.16,130.24,130.24
H001,Warrior,Mid,I029,I051,I077,I008,,,87.81,87.23,87.23
H001,Warrior,Mid,I027,I039,I028,I099,,,83.34,83.74,83.74
H001,Warrior,Mid,I098,I033,I038,I042,,,69.0,71.05,71.05
H001,Warrior,Mid,I001,I064,I096,I056,,,106.92,102.55,102.55
H001,Warrior,Mid,I017,I049,I069,I091,,,103.16,113.95,113.95
H001,Warrior,Mid,I065,I072,I107,I086,,,120.34,114.29,114.29
H001,Warrior,Mid,I010,I051,I095,I006,I056,,90.34,84.86,84.86
H001,Warrior,Mid,I059,I010,I041,I074,,,105.57,111.69,111.69
H001,Warrior,Mid,I074,I052,I091,I082,I054,,96.58,100.4,100.4
H001,Warrior,Mid,I015,I052,I003,I042,I022,,99.3,102.4,102.4
H001,Warrior,Mid,I059,I107,I089,I047,I012,I056,94.18,97.14,97.14
H001,Warrior,Mid,I032,I056,I076,I052,,,106.22,106.16,106.16
H001,Warrior,Mid,I011,I051,I040,I096,I044,I029,80.88,77.25,77.25
H001,Warrior,Mid,I100,I022,I010,I066,I082,,108.25,108.66,108.66
H001,Warrior,Mid,I068,I066,I025,I100,,,128.05,123.71,123.71
H001,Warrior,Mid,I045,I094,I105,I083,I019,,92.02,96.5,96.5
H001,Warrior,Mid,I014,I019,I033,I026,,,82.26,81.66,81.66
H001,Warrior,Mid,I078,I020,I098,I084,,,145.45,139.45,139.45
H001,Warrior,Mid,I023,I099,I081,I064,,,106.12,104.41,104.41
H001,Warrior,Mid,I097,I073,I098,I075,I058,,131.78,134.5,134.5
H001,Warrior,Mid,I073,I083,I082,I080,I042,I081,138.07,134.18,134.18
H001,Warrior,Mid,I020,I057,I009,I061,I081,,96.81,92.83,92.83
H001,Warrior,Mid,I102,I036,I076,I008,I046,,99.66,100.87,100.87
H001,Warrior,Mid,I010,I040,I060,I058,I005,I008,107.23,108.54,108.54
H001,Warrior,Mid,I107,I037,I010,I083,I012,,87.53,85.31,85.31
H001,Warrior,Mid,I077,I065,I050,I060,I075,I071,172.88,168.81,168.81
H001,Warrior,Mid,I006,I058,I104,I074,I084,I025,154.69,156.48,156.48
H001,Warrior,Mid,I078,I061,I065,I020,I008,,173.43,160.87,160.87
H001,Warrior,Mid,I014,I104,I108,I044,I092,,92.2,85.72,85.72
