SkillID,HeroID,SkillName,SkillType,Effect,RecommendItemType
S202,H051,,,,
S203,H051,,,,
S204,H051,,,,
S205,H052,,,,
S206,H052,,,,
S207,H052,,,,
S208,H052,,,,
S209,H053,,,,
S210,H053,,,,
S211,H053,,,,
S212,H053,,,,
S213,H054,,,,
S214,H054,,,,
S215,H054,,,,
S216,H054,,,,
S217,H055,,,,
S218,H055,,,,
S219,H055,,,,
S220,H055,,,,
S221,H056,,,,
S222,H056,,,,
S223,H056,,,,
S224,H056,,,,
S225,H057,,,,
S226,H057,,,,
S227,H057,,,,
S228,H057,,,,
S229,H058,,,,
S230,H058,,,,
S231,H058,,,,
S232,H058,,,,
S233,H059,,,,
S234,H059,,,,
S235,H059,,,,
S236,H059,,,,
S237,H060,,,,
S238,H060,,,,
S239,H060,,,,
S240,H060,,,,
S241,H061,,,,
S242,H061,,,,
S243,H061,,,,
S244,H061,,,,
S245,H062,,,,
S246,H062,,,,
S247,H062,,,,
S248,H062,,,,
S249,H063,,,,
S250,H063,,,,
S251,H063,,,,
S252,H063,,,,
S253,H064,,,,
S254,H064,,,,
S255,H064,,,,
S256,H064,,,,
S257,H065,,,,
S258,H065,,,,
S259,H065,,,,
S260,H065,,,,
S261,H066,,,,
S262,H066,,,,
S263,H066,,,,
S264,H066,,,,
S265,H067,,,,
S266,H067,,,,
S267,H067,,,,
S268,H067,,,,
S269,H068,,,,
S270,H068,,,,
S271,H068,,,,
S272,H068,,,,
S273,H069,,,,
S274,H069,,,,
S275,H069,,,,
S276,H069,,,,
S277,H070,,,,
S278,H070,,,,
S279,H070,,,,
S280,H070,,,,
S281,H071,,,,
S282,H071,,,,
S283,H071,,,,
S284,H071,,,,
S285,H072,,,,
S286,H072,,,,
S287,H072,,,,
S288,H072,,,,
S289,H073,,,,
S290,H073,,,,
S291,H073,,,,
S292,H073,,,,
S293,H074,,,,
S294,H074,,,,
S295,H074,,,,
S296,H074,,,,
S297,H075,,,,
S298,H075,,,,
S299,H075,,,,
S300,H075,,,,
S301,H076,,,,
S302,H076,,,,
S303,H076,,,,
S304,H076,,,,
S305,H077,,,,
S306,H077,,,,
S307,H077,,,,
S308,H077,,,,
S309,H078,,,,
S310,H078,,,,
S311,H078,,,,
S312,H078,,,,
S313,H079,,,,
S314,H079,,,,
S315,H079,,,,
S316,H079,,,,
S317,H080,,,,
S318,H080,,,,
S319,H080,,,,
S320,H080,,,,
S321,H081,,,,
S322,H081,,,,
S323,H081,,,,
S324,H081,,,,
S325,H082,,,,
S326,H082,,,,
S327,H082,,,,
S328,H082,,,,
S329,H083,,,,
S330,H083,,,,
S331,H083,,,,
S332,H083,,,,
S333,H084,,,,
S334,H084,,,,
S335,H084,,,,
S336,H084,,,,
S337,H085,,,,
S338,H085,,,,
S339,H085,,,,
S340,H085,,,,
S341,H086,,,,
S342,H086,,,,
S343,H086,,,,
S344,H086,,,,
S345,H087,,,,
S346,H087,,,,
S347,H087,,,,
S348,H087,,,,
S349,H088,,,,
S350,H088,,,,
S351,H088,,,,
S352,H088,,,,
S353,H089,,,,
S354,H089,,,,
S355,H089,,,,
S356,H089,,,,
S357,H090,,,,
S358,H090,,,,
S359,H090,,,,
S360,H090,,,,
S361,H091,,,,
S362,H091,,,,
S363,H091,,,,
S364,H091,,,,
S365,H092,,,,
S366,H092,,,,
S367,H092,,,,
S368,H092,,,,
S369,H093,,,,
S370,H093,,,,
S371,H093,,,,
S372,H093,,,,
S373,H094,,,,
S374,H094,,,,
S375,H094,,,,
S376,H094,,,,
S377,H095,,,,
S378,H095,,,,
S379,H095,,,,
S380,H095,,,,
S381,H096,,,,
S382,H096,,,,
S383,H096,,,,
S384,H096,,,,
S385,H097,,,,
S386,H097,,,,
S387,H097,,,,
S388,H097,,,,
S389,H098,,,,
S390,H098,,,,
S391,H098,,,,
S392,H098,,,,
S393,H099,,,,
S394,H099,,,,
S395,H099,,,,
S396,H099,,,,
S397,H100,,,,
S398,H100,,,,
S399,H100,,,,
S400,H100,,,,
S401,H101,,,,
S402,H101,,,,
S403,H101,,,,
S404,H101,,,,
S405,H102,,,,
S406,H102,,,,
S407,H102,,,,
S408,H102,,,,
S409,H103,,,,
S410,H103,,,,
S411,H103,,,,
S412,H103,,,,
S413,H104,,,,
S414,H104,,,,
S415,H104,,,,
S416,H104,,,,
S417,H105,,,,
S418,H105,,,,
S419,H105,,,,
S420,H105,,,,
S421,H106,,,,
S422,H106,,,,
S423,H106,,,,
S424,H106,,,,
S425,H107,,,,
S426,H107,,,,
S427,H107,,,,
S428,H107,,,,
S429,H108,,,,
S430,H108,,,,
S431,H108,,,,
S432,H108,,,,
S433,H109,,,,
S434,H109,,,,
S435,H109,,,,
S436,H109,,,,
S437,H110,,,,
S438,H110,,,,
S439,H110,,,,
S440,H110,,,,
S441,H111,,,,
S442,H111,,,,
S443,H111,,,,
S444,H111,,,,
S445,H112,,,,
S446,H112,,,,
S447,H112,,,,
S448,H112,,,,
S449,H113,,,,
S450,H113,,,,
S451,H113,,,,
S452,H113,,,,
S453,H114,,,,
S454,H114,,,,
S455,H114,,,,
S456,H114,,,,
S457,H115,,,,
S458,H115,,,,
S459,H115,,,,
S460,H115,,,,
S461,H116,,,,
S462,H116,,,,
S463,H116,,,,
S464,H116,,,,
S465,H117,,,,
S466,H117,,,,
S467,H117,,,,
S468,H117,,,,
S469,H118,,,,
S470,H118,,,,
S471,H118,,,,
S472,H118,,,,
S473,H119,,,,
S474,H119,,,,
S475,H119,,,,
S476,H119,,,,
S477,H120,,,,
S478,H120,,,,
S479,H120,,,,
