Hero ID,Hero_Name,First_Class,Second_Class,First_Lane,Second_Lane,Attack Range
H048,Toro,Tank,Roaming,Roaming,Off Lane,Melee
H049,Violet,Carry,,Carry,,Ranged
H050,Diao Chan,Mage,,Mid Lane,,Ranged
H051,Zephys,Fighter,Assassin,Jungle,Off Lane,Melee
H052,Nakroth,Assassin,,Jungle,,Melee
H053,Grakk,Tank,Roaming,Roaming,,Melee
H054,Mina,Tank,Roaming,Off Lane,Roaming,Melee
H055,Fennik,Carry,,Jungle,Carry,Ranged
H056,Zanis,Fighter,,Jungle,Off Lane,Melee
H057,Aleister,Mage,,Mid Lane,,Ranged
H058,Butterfly,Fighter,Assassin,Jungle,,Melee
H059,Lumburr,Tank,Roaming,Roaming,,Melee
H060,Helen,Roaming,,Roaming,,Ranged
H061,Yorn,Carry,,Carry,,Ranged
H062,Natalya,Mage,,Mid Lane,,Ranged
H063,Lu Bu,Fighter,,Off Lane,,Melee
H064,Cresht,Tank,Roaming,Roaming,,Melee
H065,Jinna,Mage,,Mid Lane,,Ranged
H066,Omega, Tank,Roaming,Roaming,Off Lane,Melee
H067,Maloch, Fighter,Tank,Off Lane,,Melee
H068,Paine,Assassin,,Jungle,,Ranged
H069,Ilumia,Mage,,Mid Lane,,Ranged
H070,WuKong,Assassin,,Jungle,,Melee
H071,Kriknak,Assassin,,Jungle,,Melee
H072,Mortos,Fighter,,Off Lane,,Melee
H073,Kaine,Assassin,,Jungle,,Melee
H074,Slimz,Carry,,Carry,,Ranged
H075,Preyta,Mage,,Mid Lane,,Ranged
H076,Airi, Fighter,Assassin,Off Lane ,Jungle,Melee
H077,Skud, Fighter,Tank,Off Lane ,Jungle,Melee
H078,Raz, Assassin,Mage,Mid Lane,,Melee
H079,Lauriel,Mage,,Mid Lane,,Ranged
H080,Zuka, Fighter,Assassin,Off Lane,Jungle,Melee
H081,Tulen,Mage,,Mid Lane,,Ranged
H082,Omen,Fighter,,Off Lane,,Melee
H083,Baldum, Tank,Roaming,Roaming,,Melee
H084,Max,Tank,,Off Lane,,Melee
H085,Liliana, Mage,Assassin,Mid Lane,,Ranged
H086,Y'bneth,Tank,,Roaming,Off Lane,Melee
H087,Wisp,Carry,,Carry,,Ranged
H088,Marja,Mage,,Off Lane,,Ranged
H089,The Flash,Assassin,,Jungle,Mid Lane,Melee
H090,Arum, Tank,Roaming,Roaming,,Ranged
H091,Rourke,Fighter,,Jungle,,Melee
H092,Riktor,Fighter,,Off Lane,Roaming,Melee
H093,Roxie, Fighter,Tank,Off Lane,,Melee
H094,Annette, Mage,Roaming,Roaming,Mid Lane,Ranged
H095,Quillen,Assassin,,Jungle,,Melee
H096,Sephera, Mage,Roaming,Roaming,Mid Lane,Ranged
H097,Zip,Roaming,,Roaming,,Melee
H098,D'Arcy,Mage,,Mid Lane,,Ranged
H099,Errol,Fighter,,Off Lane,,Melee
H100,Florentino,Fighter,,Off Lane,,Melee
H101,Veres,Fighter,,Off Lane,,Melee
H102,Amily,Fighter,,Off Lane,,Melee
H103,Elsu,Carry,,Carry,,Ranged
H104,Wiro, Fighter,Tank,Roaming,Off Lane,Melee
H105,Capheny,Carry,,Carry,,Ranged
H106,Qi, Fighter,Assassin,Off Lane,Jungle,Melee
H107,Yena,Fighter,,Off Lane,,Melee
H108,Enzo,Assassin,,Jungle,,Melee
H109,Laville,Carry,,Carry,,Ranged
H110,Celica,Carry,,Carry,,Ranged
H111,Yan, Fighter,Assassin,Jungle,Off Lane,Melee
H112,Zata, Mage,Assassin,Mid Lane,,Ranged
H113,Teeri,Carry,,Carry,,Jarak
H114,Ming,Roaming,,Roaming,,Ranged
H115,Erin,Carry,,Carry,Jungle,Ranged
H116,Bijan,Fighter,,Off Lane,Jungle,Ranged
H117,Bonnie,Mage,,Mid Lane,,Melee
H118,Charlotte,Fighter,,Off Lane,Jungle,Melee
H119,Dolia,Roaming,,Roaming,,Ranged
