hero_code,hero_name,role,lane,damage_type,fitness_score,ga_profile,item_1,item_2,item_3,item_4,item_5,item_6,total_cost,final_p_atk,final_m_power,final_hp,final_cdr,time_ms,error
astrid,astrid,Assassin,Farm,Physical,407.86,expert,Holy of Holies,Hecate's Diadem,Boomstick,Staff of Nuul,Arctic Orbs,Muramasa,13460.0,483.0,1260.0,8080.0,20.0,220.03,
ata,ata,Tank,Dark Slayer,Physical,397.97,expert,Staff of Nuul,Boomstick,Hecate's Diadem,Arctic Orbs,Muramasa,Holy of Holies,13460.0,414.0,1260.0,8410.0,20.0,225.79,
ata,ata,Tank,Support,Physical,397.97,expert,Hecate's Diadem,Holy of Holies,Muramasa,Arctic Orbs,Boomstick,Staff of Nuul,13460.0,414.0,1260.0,8410.0,20.0,231.7,
aya,aya,Support,Support,Magic,393.36,expert,Muramasa,Staff of Nuul,Holy of Holies,Boomstick,Arctic Orbs,Hecate's Diadem,13460.0,396.0,1260.0,7139.0,20.0,227.02,
azzen_ka,azzen_ka,Mage,Mid,Magic,395.01,expert,Staff of Nuul,Hecate's Diadem,Holy of Holies,Boomstick,Muramasa,Arctic Orbs,13460.0,408.0,1260.0,6844.0,20.0,234.7,
baldum,baldum,Tank,Support,Physical,398.41,expert,Muramasa,Boomstick,Hecate's Diadem,Staff of Nuul,Arctic Orbs,Holy of Holies,13460.0,414.0,1260.0,8414.0,20.0,230.54,
baldum,baldum,Support,Support,Physical,398.41,expert,Arctic Orbs,Staff of Nuul,Holy of Holies,Boomstick,Hecate's Diadem,Muramasa,13460.0,414.0,1260.0,8414.0,20.0,224.71,
bijan,bijan,Fighter,Dark Slayer,Physical,331.29,expert,Staff of Nuul,Arctic Orbs,Boomstick,Holy of Holies,Hecate's Diadem,Muramasa,13460.0,75.0,1260.0,0.0,20.0,213.08,
bijan,bijan,Fighter,Farm,Physical,331.29,expert,Holy of Holies,Hecate's Diadem,Muramasa,Staff of Nuul,Arctic Orbs,Boomstick,13460.0,75.0,1260.0,0.0,20.0,234.03,
bonnie,bonnie,Mage,Mid,Magic,331.29,expert,Muramasa,Holy of Holies,Staff of Nuul,Hecate's Diadem,Boomstick,Arctic Orbs,13460.0,75.0,1260.0,0.0,20.0,221.05,
bright,bright,Fighter,Farm,Physical,412.24,expert,Arctic Orbs,Boomstick,Holy of Holies,Staff of Nuul,Muramasa,Hecate's Diadem,13460.0,516.0,1260.0,7488.0,20.0,215.04,
bright,bright,Fighter,Dark Slayer,Physical,412.24,expert,Arctic Orbs,Holy of Holies,Boomstick,Hecate's Diadem,Staff of Nuul,Muramasa,13460.0,516.0,1260.0,7488.0,20.0,226.17,
butterfly,butterfly,Fighter,Farm,Physical,415.86,expert,Arctic Orbs,Staff of Nuul,Boomstick,Holy of Holies,Hecate's Diadem,Muramasa,13460.0,540.0,1260.0,7819.0,20.0,224.38,
butterfly,butterfly,Assassin,Farm,Physical,415.86,expert,Arctic Orbs,Muramasa,Boomstick,Holy of Holies,Staff of Nuul,Hecate's Diadem,13460.0,540.0,1260.0,7819.0,20.0,229.04,
capheny,capheny,Carry,Dragon Slayer,Physical,331.29,expert,Hecate's Diadem,Arctic Orbs,Boomstick,Staff of Nuul,Muramasa,Holy of Holies,13460.0,75.0,1260.0,0.0,20.0,228.54,
celica,celica,Carry,Dragon Slayer,Physical,331.29,expert,Muramasa,Boomstick,Holy of Holies,Arctic Orbs,Hecate's Diadem,Staff of Nuul,13460.0,75.0,1260.0,0.0,20.0,232.55,
charlotte,charlotte,Fighter,Dark Slayer,Physical,331.29,expert,Holy of Holies,Muramasa,Boomstick,Staff of Nuul,Hecate's Diadem,Arctic Orbs,13460.0,75.0,1260.0,0.0,20.0,229.03,
charlotte,charlotte,Fighter,Farm,Physical,331.29,expert,Muramasa,Hecate's Diadem,Staff of Nuul,Holy of Holies,Boomstick,Arctic Orbs,13460.0,75.0,1260.0,0.0,20.0,215.53,
chaugnar,chaugnar,Tank,Support,Physical,393.13,expert,Arctic Orbs,Muramasa,Holy of Holies,Staff of Nuul,Boomstick,Hecate's Diadem,13460.0,371.0,1260.0,8981.0,20.0,226.02,
chaugnar,chaugnar,Support,Support,Physical,393.13,expert,Holy of Holies,Muramasa,Boomstick,Hecate's Diadem,Staff of Nuul,Arctic Orbs,13460.0,371.0,1260.0,8981.0,20.0,232.01,
cresht,cresht,Tank,Support,Physical,394.43,expert,Holy of Holies,Muramasa,Boomstick,Arctic Orbs,Staff of Nuul,Hecate's Diadem,13460.0,375.0,1260.0,9616.0,20.0,233.21,
cresht,cresht,Support,Support,Physical,394.43,expert,Holy of Holies,Staff of Nuul,Arctic Orbs,Hecate's Diadem,Muramasa,Boomstick,13460.0,375.0,1260.0,9616.0,20.0,233.54,
d_arcy,d_arcy,Mage,Mid,Magic,331.29,expert,Arctic Orbs,Boomstick,Holy of Holies,Hecate's Diadem,Muramasa,Staff of Nuul,13460.0,75.0,1260.0,0.0,20.0,218.02,
dextra,dextra,Fighter,Dark Slayer,Physical,401.21,expert,Staff of Nuul,Holy of Holies,Hecate's Diadem,Boomstick,Muramasa,Arctic Orbs,13460.0,433.0,1260.0,8610.0,20.0,232.03,
dextra,dextra,Tank,Dark Slayer,Physical,401.21,expert,Holy of Holies,Hecate's Diadem,Muramasa,Staff of Nuul,Arctic Orbs,Boomstick,13460.0,433.0,1260.0,8610.0,20.0,225.61,
diao_chan,diao_chan,Mage,Mid,Magic,390.42,expert,Arctic Orbs,Boomstick,Muramasa,Holy of Holies,Hecate's Diadem,Staff of Nuul,13460.0,378.0,1260.0,6988.0,20.0,227.2,
dirak,dirak,Mage,Mid,Magic,388.16,expert,Holy of Holies,Staff of Nuul,Boomstick,Muramasa,Arctic Orbs,Hecate's Diadem,13460.0,368.0,1260.0,6290.0,20.0,228.02,
dolia,dolia,Support,Support,Magic,331.29,expert,Staff of Nuul,Muramasa,Arctic Orbs,Boomstick,Holy of Holies,Hecate's Diadem,13460.0,75.0,1260.0,0.0,20.0,229.04,
eland_orr,eland_orr,Carry,Farm,Physical,406.09,expert,Staff of Nuul,Hecate's Diadem,Arctic Orbs,Boomstick,Muramasa,Holy of Holies,13460.0,483.0,1260.0,6649.0,20.0,214.53,
eland_orr,eland_orr,Carry,Dragon Slayer,Physical,406.09,expert,Staff of Nuul,Muramasa,Arctic Orbs,Holy of Holies,Boomstick,Hecate's Diadem,13460.0,483.0,1260.0,6649.0,20.0,228.4,
elsu,elsu,Carry,Dragon Slayer,Physical,331.29,expert,Muramasa,Holy of Holies,Arctic Orbs,Staff of Nuul,Hecate's Diadem,Boomstick,13460.0,75.0,1260.0,0.0,20.0,216.54,
enzo,enzo,Assassin,Farm,Physical,331.29,expert,Staff of Nuul,Muramasa,Boomstick,Arctic Orbs,Hecate's Diadem,Holy of Holies,13460.0,75.0,1260.0,0.0,20.0,225.96,
erin,erin,Carry,Dragon Slayer,Physical,331.29,expert,Staff of Nuul,Boomstick,Muramasa,Hecate's Diadem,Holy of Holies,Arctic Orbs,13460.0,75.0,1260.0,0.0,20.0,220.54,
erin,erin,Carry,Farm,Physical,331.29,expert,Hecate's Diadem,Staff of Nuul,Muramasa,Boomstick,Holy of Holies,Arctic Orbs,13460.0,75.0,1260.0,0.0,20.0,220.54,
errol,errol,Fighter,Dark Slayer,Physical,331.29,expert,Staff of Nuul,Boomstick,Holy of Holies,Muramasa,Arctic Orbs,Hecate's Diadem,13460.0,75.0,1260.0,0.0,20.0,225.11,
fennik,fennik,Carry,Farm,Physical,405.92,expert,Staff of Nuul,Boomstick,Muramasa,Arctic Orbs,Hecate's Diadem,Holy of Holies,13460.0,479.0,1260.0,6985.0,20.0,229.02,
fennik,fennik,Carry,Dragon Slayer,Physical,405.92,expert,Holy of Holies,Staff of Nuul,Muramasa,Hecate's Diadem,Arctic Orbs,Boomstick,13460.0,479.0,1260.0,6985.0,20.0,229.54,
florentino,florentino,Fighter,Dark Slayer,Physical,331.29,expert,Holy of Holies,Staff of Nuul,Arctic Orbs,Muramasa,Boomstick,Hecate's Diadem,13460.0,75.0,1260.0,0.0,20.0,218.71,
gildur,gildur,Tank,Support,Physical,399.59,expert,Muramasa,Hecate's Diadem,Holy of Holies,Staff of Nuul,Boomstick,Arctic Orbs,13460.0,422.0,1260.0,8578.0,20.0,239.55,
gildur,gildur,Tank,Dark Slayer,Physical,399.59,expert,Muramasa,Hecate's Diadem,Boomstick,Arctic Orbs,Staff of Nuul,Holy of Holies,13460.0,422.0,1260.0,8578.0,20.0,236.54,
gildur,gildur,Support,Support,Physical,399.59,expert,Staff of Nuul,Arctic Orbs,Boomstick,Muramasa,Hecate's Diadem,Holy of Holies,13460.0,422.0,1260.0,8578.0,20.0,217.72,
gildur,gildur,Support,Dark Slayer,Physical,399.59,expert,Staff of Nuul,Muramasa,Boomstick,Holy of Holies,Hecate's Diadem,Arctic Orbs,13460.0,422.0,1260.0,8578.0,20.0,228.77,
grakk,grakk,Tank,Support,Physical,388.47,expert,Arctic Orbs,Holy of Holies,Muramasa,Staff of Nuul,Hecate's Diadem,Boomstick,13460.0,348.0,1260.0,8546.0,20.0,226.1,
grakk,grakk,Support,Support,Physical,388.47,expert,Holy of Holies,Boomstick,Hecate's Diadem,Staff of Nuul,Arctic Orbs,Muramasa,13460.0,348.0,1260.0,8546.0,20.0,223.06,
hayate,hayate,Carry,Dragon Slayer,Physical,400.47,expert,Staff of Nuul,Boomstick,Holy of Holies,Arctic Orbs,Hecate's Diadem,Muramasa,13460.0,445.0,1260.0,6640.0,20.0,218.03,
helen,helen,Support,Support,Magic,389.4,expert,Staff of Nuul,Holy of Holies,Boomstick,Hecate's Diadem,Arctic Orbs,Muramasa,13460.0,367.0,1260.0,7169.0,20.0,219.03,
iggy,iggy,Mage,Mid,Magic,398.0,expert,Holy of Holies,Hecate's Diadem,Boomstick,Arctic Orbs,Muramasa,Staff of Nuul,13460.0,431.0,1260.0,6730.0,20.0,233.17,
ignis,ignis,Mage,Mid,Magic,390.45,expert,Holy of Holies,Staff of Nuul,Hecate's Diadem,Arctic Orbs,Muramasa,Boomstick,13460.0,372.0,1260.0,7234.0,20.0,224.54,
ilumia,ilumia,Mage,Mid,Magic,395.28,expert,Hecate's Diadem,Holy of Holies,Muramasa,Arctic Orbs,Boomstick,Staff of Nuul,13460.0,411.0,1260.0,6486.0,20.0,215.02,
ishar,ishar,Mage,Mid,Magic,379.73,expert,Holy of Holies,Boomstick,Staff of Nuul,Hecate's Diadem,Muramasa,Arctic Orbs,13460.0,307.0,1260.0,7134.0,20.0,236.03,
ishar,ishar,Mage,Support,Magic,379.73,expert,Holy of Holies,Boomstick,Muramasa,Arctic Orbs,Hecate's Diadem,Staff of Nuul,13460.0,307.0,1260.0,7134.0,20.0,226.03,
ishar,ishar,Support,Mid,Magic,379.73,expert,Staff of Nuul,Boomstick,Hecate's Diadem,Muramasa,Arctic Orbs,Holy of Holies,13460.0,307.0,1260.0,7134.0,20.0,227.72,
ishar,ishar,Support,Support,Magic,379.73,expert,Staff of Nuul,Boomstick,Holy of Holies,Hecate's Diadem,Muramasa,Arctic Orbs,13460.0,307.0,1260.0,7134.0,20.0,216.03,
jinna,jinna,Mage,Mid,Magic,394.83,expert,Staff of Nuul,Holy of Holies,Boomstick,Muramasa,Hecate's Diadem,Arctic Orbs,13460.0,402.0,1260.0,7424.0,20.0,218.59,
kahlii,kahlii,Mage,Mid,Magic,397.25,expert,Muramasa,Staff of Nuul,Holy of Holies,Arctic Orbs,Hecate's Diadem,Boomstick,13460.0,426.0,1260.0,6730.0,20.0,219.02,
kaine,kaine,Assassin,Farm,Physical,409.69,expert,Holy of Holies,Hecate's Diadem,Boomstick,Arctic Orbs,Staff of Nuul,Muramasa,13460.0,501.0,1260.0,7492.0,20.0,233.06,
keera,keera,Assassin,Farm,Physical,407.66,expert,Hecate's Diadem,Staff of Nuul,Arctic Orbs,Muramasa,Holy of Holies,Boomstick,13460.0,488.0,1260.0,7608.0,20.0,234.13,
kill_groth,kill_groth,Fighter,Dark Slayer,Physical,403.7,expert,Staff of Nuul,Holy of Holies,Hecate's Diadem,Boomstick,Arctic Orbs,Muramasa,13460.0,450.0,1260.0,8416.0,20.0,217.02,
kriknak,kriknak,Assassin,Farm,Physical,410.64,expert,Muramasa,Boomstick,Holy of Holies,Arctic Orbs,Staff of Nuul,Hecate's Diadem,13460.0,506.0,1260.0,7465.0,20.0,232.66,
krixi,krixi,Mage,Mid,Magic,390.19,expert,Hecate's Diadem,Arctic Orbs,Holy of Holies,Staff of Nuul,Muramasa,Boomstick,13460.0,375.0,1260.0,7176.0,20.0,229.06,
krizzix,krizzix,Support,Support,Magic,391.77,expert,Boomstick,Arctic Orbs,Staff of Nuul,Holy of Holies,Hecate's Diadem,Muramasa,13460.0,372.0,1260.0,8366.0,20.0,233.05,
lauriel,lauriel,Mage,Mid,Magic,389.2,expert,Hecate's Diadem,Boomstick,Arctic Orbs,Staff of Nuul,Holy of Holies,Muramasa,13460.0,369.0,1260.0,6871.0,20.0,229.03,
laville,laville,Carry,Dragon Slayer,Physical,331.29,expert,Staff of Nuul,Boomstick,Arctic Orbs,Holy of Holies,Muramasa,Hecate's Diadem,13460.0,75.0,1260.0,0.0,20.0,225.54,
liliana,liliana,Mage,Mid,Magic,331.29,expert,Staff of Nuul,Hecate's Diadem,Muramasa,Holy of Holies,Boomstick,Arctic Orbs,13460.0,75.0,1260.0,0.0,20.0,230.04,
liliana,liliana,Assassin,Mid,Magic,331.29,expert,Muramasa,Holy of Holies,Hecate's Diadem,Staff of Nuul,Arctic Orbs,Boomstick,13460.0,75.0,1260.0,0.0,20.0,227.16,
lindis,lindis,Carry,Farm,Physical,410.08,expert,Arctic Orbs,Holy of Holies,Boomstick,Staff of Nuul,Muramasa,Hecate's Diadem,13460.0,507.0,1260.0,7059.0,20.0,223.77,
lindis,lindis,Carry,Dragon Slayer,Physical,410.08,expert,Muramasa,Arctic Orbs,Staff of Nuul,Boomstick,Hecate's Diadem,Holy of Holies,13460.0,507.0,1260.0,7059.0,20.0,217.03,
lorion,lorion,Mage,Mid,,,,,,,,,,,,,,,,unsupported operand type(s) for +: 'NoneType' and 'int'
lu_bu,lu_bu,Fighter,Dark Slayer,Physical,407.1,expert,Muramasa,Boomstick,Staff of Nuul,Hecate's Diadem,Arctic Orbs,Holy of Holies,13460.0,473.0,1260.0,8771.0,20.0,227.78,
lumburr,lumburr,Tank,Support,Physical,389.42,expert,Staff of Nuul,Boomstick,Holy of Holies,Arctic Orbs,Hecate's Diadem,Muramasa,13460.0,348.0,1260.0,9596.0,20.0,223.54,
lumburr,lumburr,Support,Support,Physical,389.42,expert,Boomstick,Holy of Holies,Staff of Nuul,Muramasa,Hecate's Diadem,Arctic Orbs,13460.0,348.0,1260.0,9596.0,20.0,227.03,
maloch,maloch,Fighter,Dark Slayer,Physical,398.67,expert,Holy of Holies,Hecate's Diadem,Muramasa,Boomstick,Staff of Nuul,Arctic Orbs,13460.0,417.0,1260.0,8554.0,20.0,230.04,
maloch,maloch,Tank,Dark Slayer,Physical,398.67,expert,Staff of Nuul,Holy of Holies,Muramasa,Boomstick,Arctic Orbs,Hecate's Diadem,13460.0,417.0,1260.0,8554.0,20.0,228.02,
marja,marja,Mage,Dark Slayer,Magic,331.29,expert,Muramasa,Arctic Orbs,Hecate's Diadem,Holy of Holies,Boomstick,Staff of Nuul,13460.0,75.0,1260.0,0.0,20.0,217.55,
max,max,Tank,Dark Slayer,Physical,331.29,expert,Holy of Holies,Muramasa,Arctic Orbs,Staff of Nuul,Hecate's Diadem,Boomstick,13460.0,75.0,1260.0,0.0,20.0,222.07,
mganga,mganga,Mage,Mid,Magic,398.53,expert,Holy of Holies,Muramasa,Arctic Orbs,Hecate's Diadem,Boomstick,Staff of Nuul,13460.0,421.0,1260.0,7961.0,20.0,217.02,
mina,mina,Tank,Dark Slayer,Physical,396.81,expert,Arctic Orbs,Holy of Holies,Boomstick,Muramasa,Staff of Nuul,Hecate's Diadem,13460.0,403.0,1260.0,8690.0,20.0,236.03,
mina,mina,Tank,Support,Physical,396.81,expert,Staff of Nuul,Hecate's Diadem,Arctic Orbs,Holy of Holies,Boomstick,Muramasa,13460.0,403.0,1260.0,8690.0,20.0,234.03,
mina,mina,Support,Dark Slayer,Physical,396.81,expert,Boomstick,Holy of Holies,Staff of Nuul,Muramasa,Hecate's Diadem,Arctic Orbs,13460.0,403.0,1260.0,8690.0,20.0,229.05,
mina,mina,Support,Support,Physical,396.81,expert,Hecate's Diadem,Staff of Nuul,Muramasa,Boomstick,Holy of Holies,Arctic Orbs,13460.0,403.0,1260.0,8690.0,20.0,229.47,
ming,ming,Support,Support,Magic,331.29,expert,Hecate's Diadem,Staff of Nuul,Holy of Holies,Boomstick,Muramasa,Arctic Orbs,13460.0,75.0,1260.0,0.0,20.0,231.02,
moren,moren,Carry,Dragon Slayer,Physical,405.16,expert,Boomstick,Holy of Holies,Hecate's Diadem,Muramasa,Staff of Nuul,Arctic Orbs,13460.0,476.0,1260.0,6987.0,20.0,234.22,
mortos,mortos,Fighter,Dark Slayer,Physical,407.03,expert,Holy of Holies,Hecate's Diadem,Muramasa,Staff of Nuul,Arctic Orbs,Boomstick,13460.0,467.0,1260.0,9259.0,20.0,226.03,
murad,murad,Assassin,Farm,Physical,406.28,expert,Muramasa,Arctic Orbs,Staff of Nuul,Boomstick,Holy of Holies,Hecate's Diadem,13460.0,483.0,1260.0,6633.0,20.0,233.54,
nakroth,nakroth,Assassin,Farm,Physical,409.84,expert,Arctic Orbs,Boomstick,Staff of Nuul,Hecate's Diadem,Holy of Holies,Muramasa,13460.0,507.0,1260.0,6928.0,20.0,230.21,
natalya,natalya,Mage,Mid,Magic,395.21,expert,Staff of Nuul,Boomstick,Arctic Orbs,Hecate's Diadem,Holy of Holies,Muramasa,13460.0,406.0,1260.0,7411.0,20.0,229.03,
omega,omega,Tank,Support,Physical,393.54,expert,Staff of Nuul,Holy of Holies,Hecate's Diadem,Boomstick,Arctic Orbs,Muramasa,13460.0,385.0,1260.0,8206.0,20.0,231.02,
omega,omega,Tank,Dark Slayer,Physical,393.54,expert,Holy of Holies,Boomstick,Arctic Orbs,Staff of Nuul,Muramasa,Hecate's Diadem,13460.0,385.0,1260.0,8206.0,20.0,225.55,
omega,omega,Support,Support,Physical,393.54,expert,Muramasa,Boomstick,Staff of Nuul,Holy of Holies,Arctic Orbs,Hecate's Diadem,13460.0,385.0,1260.0,8206.0,20.0,229.54,
omega,omega,Support,Dark Slayer,Physical,393.54,expert,Holy of Holies,Staff of Nuul,Muramasa,Boomstick,Hecate's Diadem,Arctic Orbs,13460.0,385.0,1260.0,8206.0,20.0,221.03,
omen,omen,Fighter,Dark Slayer,Physical,396.79,expert,Holy of Holies,Hecate's Diadem,Arctic Orbs,Boomstick,Staff of Nuul,Muramasa,13460.0,404.0,1260.0,8415.0,20.0,216.02,
ormarr,ormarr,Tank,Support,Physical,397.69,expert,Arctic Orbs,Boomstick,Staff of Nuul,Muramasa,Hecate's Diadem,Holy of Holies,13460.0,407.0,1260.0,8970.0,20.0,234.55,
paine,paine,Assassin,Farm,,,,,,,,,,,,,,,,unsupported operand type(s) for +: 'NoneType' and 'int'
preyta,preyta,Mage,Mid,Magic,398.24,expert,Hecate's Diadem,Holy of Holies,Boomstick,Muramasa,Staff of Nuul,Arctic Orbs,13460.0,430.0,1260.0,6658.0,20.0,231.03,
qi,qi,Fighter,Dark Slayer,Physical,331.29,expert,Hecate's Diadem,Staff of Nuul,Muramasa,Boomstick,Holy of Holies,Arctic Orbs,13460.0,75.0,1260.0,0.0,20.0,220.03,
qi,qi,Fighter,Farm,Physical,331.29,expert,Holy of Holies,Staff of Nuul,Arctic Orbs,Hecate's Diadem,Boomstick,Muramasa,13460.0,75.0,1260.0,0.0,20.0,223.03,
qi,qi,Assassin,Dark Slayer,Physical,331.29,expert,Staff of Nuul,Boomstick,Hecate's Diadem,Arctic Orbs,Muramasa,Holy of Holies,13460.0,75.0,1260.0,0.0,20.0,232.55,
qi,qi,Assassin,Farm,Physical,331.29,expert,Muramasa,Holy of Holies,Hecate's Diadem,Boomstick,Staff of Nuul,Arctic Orbs,13460.0,75.0,1260.0,0.0,20.0,221.54,
quillen,quillen,Assassin,Farm,Physical,331.29,expert,Muramasa,Hecate's Diadem,Staff of Nuul,Boomstick,Arctic Orbs,Holy of Holies,13460.0,75.0,1260.0,0.0,20.0,212.53,
raz,raz,Assassin,Mid,Magic,391.04,expert,Muramasa,Arctic Orbs,Staff of Nuul,Boomstick,Holy of Holies,Hecate's Diadem,13460.0,376.0,1260.0,7273.0,20.0,229.85,
raz,raz,Mage,Mid,Magic,391.04,expert,Staff of Nuul,Holy of Holies,Arctic Orbs,Boomstick,Hecate's Diadem,Muramasa,13460.0,376.0,1260.0,7273.0,20.0,227.55,
riktor,riktor,Fighter,Dark Slayer,Physical,331.29,expert,Staff of Nuul,Hecate's Diadem,Muramasa,Arctic Orbs,Boomstick,Holy of Holies,13460.0,75.0,1260.0,0.0,20.0,214.05,
riktor,riktor,Fighter,Support,Physical,331.29,expert,Holy of Holies,Hecate's Diadem,Muramasa,Arctic Orbs,Boomstick,Staff of Nuul,13460.0,75.0,1260.0,0.0,20.0,218.46,
rouie,rouie,Support,Support,Magic,388.59,expert,Boomstick,Staff of Nuul,Hecate's Diadem,Arctic Orbs,Holy of Holies,Muramasa,13460.0,358.0,1260.0,8063.0,20.0,228.03,
rourke,rourke,Fighter,Farm,Physical,331.29,expert,Arctic Orbs,Hecate's Diadem,Holy of Holies,Boomstick,Muramasa,Staff of Nuul,13460.0,75.0,1260.0,0.0,20.0,213.59,
roxie,roxie,Fighter,Dark Slayer,Physical,331.29,expert,Hecate's Diadem,Muramasa,Boomstick,Holy of Holies,Staff of Nuul,Arctic Orbs,13460.0,75.0,1260.0,0.0,20.0,229.54,
roxie,roxie,Tank,Dark Slayer,Physical,331.29,expert,Hecate's Diadem,Boomstick,Staff of Nuul,Arctic Orbs,Muramasa,Holy of Holies,13460.0,75.0,1260.0,0.0,20.0,222.54,
ryoma,ryoma,Fighter,Dark Slayer,Physical,405.62,expert,Boomstick,Muramasa,Staff of Nuul,Arctic Orbs,Hecate's Diadem,Holy of Holies,13460.0,465.0,1260.0,8260.0,20.0,216.36,
ryoma,ryoma,Fighter,Farm,Physical,405.62,expert,Holy of Holies,Boomstick,Hecate's Diadem,Staff of Nuul,Muramasa,Arctic Orbs,13460.0,465.0,1260.0,8260.0,20.0,218.03,
