SkillID,HeroID,SkillName,SkillType,Effect,RecommendItemType
S092,H023,"Steeled Focus	",Heal,"Increases movement speed and restores HP per second for a duration.	",Defense
S093,H024,Voodoo ,Magic,"Normal attacks or skill hits apply Voodoo Mark, which increases magic damage per stack and reduces enemy armor and healing effectiveness.",Magic 
S094,H024,Toxic,Magic,"Mganga throws a poison bomb at a target location, dealing magic damage and slowing enemies",Magic 
S095,H024,Feeling Lucky,Magic,Mganga throws poison that deals magic damage and slows enemies. Each hit grants him a Healing Mark,Magic 
S096,H024,"Gas Attack
",Magic,Mganga releases an explosion dealing magic damage,Magic 
S097,H025,Fleet-footed,Passive,Movement Speed Buff,"Support, Movement Speed"
S098,H025,Chrono-burst,Magic ,Stun,Magic 
S099,H025,Chrono Shield,Protection,"Shield, Movement Speed Buff",Magic 
S100,H025,Chrono Flow,Blind,Movement Speed Reduction,Magic 
S101,H026,Deterrence ,Magic,"All of Ormarr's attacks have a chance to stun enemies.	",Support
S102,H026,Unstoppable,Physical,"Dashes to a target location; if it collides with an enemy, they are knocked up.	",Defense
S103,H026,"Swagger	",Physical,"Slams the ground, dealing AoE damage and reducing enemy movement speed",Defense
S104,H026,"Walking Tall	",Physical,Hitting nearby enemies and restoring his HP,Defense
S105,H027,Faithful Herald,Movement,Increase Movement Speed,Movement
S106,H027,Energy Surge,Magic,AoE Slow,Magic
S107,H027,Shock Wave,Magic,Damage Reduction,"Magic, Defense"
S108,H027,Chaos Protection,Cleansing,CC Immunity,Defense
S109,H028,Flutter,Movement Speed,Increases Krixi's movement speed when her skill hits an enemy,Movement
S110,H028,Mischief,Magic,"Releases an energy clone, dealing Magic Damage to enemies hit",Magic
S111,H028,"Nature's Wrath	",Magic,"Calls upon nature's power, dealing Magic Damage and knocking up enemies",Magic
S112,H028,Moonfall,Magic,Increases movement speed and summons falling stars that strike enemies,Magic
S113,H029,Naginatajutsu,Physical,"Deals bonus AD damage, slows enemies , and increases damage against last enemy",Attack
S114,H029,Pinwheel,Physical,Dashes forward and deals damage,Attack
S115,H029,"Wailing Blade	",Physical,"Slashes forward, dealing  damage and stunning the last enemy hit",Attack
S116,H029,"Wrath of Izanagi	",Physical,"Slashes 4 times, dealing damage each hit and healing",Attack
S117,H030,Flight Form,Physical,Gains movement-based energy,Movement
S118,H030,Kryptonian Strength,Physical,Deals directional damage and slows enemies,Attack
S119,H030,The Man of Steel,Cleansing,Removes debuffs and increases movement speed,Defense
S120,H030,Domination,Special,Enhances skill casting speed; airborne form increases damage and knockback effect,Attack
S121,H031,Rift,Passive, Gains 1 energy point per normal attack,Attack
S122,H031,"Thorn of Time	",Physical ,"Dashes to the target location, dealing physical damage and stunning the target",Attack
S123,H031,"Time Surge	",Physical ,"Releases time energy, physical damage to surrounding enemies and damage to those who pass through its boundary",Attack
S124,H031,"Dimension Slash	",Physical ,"Dashes continuously 5 times within a designated area, dealing physical damage per hit",Attack
S125,H032,"The Fanatic	",Attack Speed,"Gains attack speed on each normal attack	",Attack
S126,H032,"Sea Spear	",Physical,"Dashes forward, dealing damage and reducing movement speed	","Attack, Movement"
S127,H032,"Enraged Spear	",Magic,"Enhances normal attacks for extra damage and healing	",Attack
S128,H032,"Warlord of Gore	",Cleansing,"Becomes unstoppable, increasing attack speed and cleansing debuffs	",Attack
S129,H033,Dustdevil ,Magic,"Marks enemies hit by skills 1 and 2, dealing bonus damage",Magic
S130,H033,Wind Blade,Magic,Deals magic damage and slows enemy movement,Magic
S131,H033,Wind Shift,Magic,"Dashes to a target location, dealing magic damage to nearby enemies",Magic
S132,H033,Tornado,Magic,Strikes multiple times in an area while being untargetable,Magic
S133,H034,Precision ,"Damage Reduction	",Every basic attack or skill hit increases Moren's armor and magic resist,"Defense, Attack Speed"
S134,H034,"Tactical Maneuver	",Physical,"Gains bonus lifesteal, increased movement speed",Attack 
S135,H034,"Impact Barrage	",Physical,"Fires a shockwave that knocks back enemies, dealing damage and stunning",Attack
S136,H034,"Magnetic Storm	",Physical,"Fires an electromagnetic bomb, slowing enemies and enhancing basic attacks",Attack
S137,H035,"Tread Softly	",Physical,Increases movement speed,"Attack,Jungle"
S138,H035,"Piercing Gaze	",Physical,Reveals enemies and increases damage,Movement
S139,H035,Entrapment,Physical,slows and reveals enemies,Attack
S140,H035,"Lunar Champion	",Physical,Dashes and marks targets,Attack
S141,H036,Scavenge ,Passive,"Provides bonus gold when near dying enemies	",Support
S142,H036,"Pooty Poots	",Magic,"Creates an explosion that stuns enemies	",Defense
S143,H036,"Chain Lance	",Magic,"Shoots a chain that pulls towards the target	",Defense
S144,H036,"Being a Bro	",Magic,"Revives an ally after they die	",Defense
S145,H037,"Doom Lord	",Physical,"Gains stacks that explode for bonus damage and shield	","Attack, Defense"
S146,H037,"Death Sweep	",Physical,"Swings a scythe, stunning and dealing damage	","Attack, Movement"
S147,H037,Execution,Physical,"Throws a spinning blade, slowing and dealing damage	","Attack, Defense"
S148,H037,Ultima,Transformation,"Becomes an Overlord, gaining damage immunity and healing	",Attack
S149,H038,Furball ,Special,Furball's power increases with Ishar's magic power.,"Support, Magic"
S150,H038,"Somnial Fungus	",Magic,Ishar releases energy dealing AoE magic damage,Magic
S151,H038,"Somnial Shield	",Shield,Ishar creates a shield and increases movement speed,Magic
S152,H038,"Dreamy Circle	",Magic,Ishar creates an energy field that turns enemies passing through into sheep,Magic
S153,H039,"Soul Seal	","Mixed Damage	",Bonus Magic Damage,Magic
S154,H039,"Butterfly Wings	","Mobility	",Teleportation,Magic
S155,H039,"Butterfly Dance	",Magic ,Mobility,Magic
S156,H039,"Morph	",Magic ,Knock Back,Magic
S157,H040,Blood of the Dragon,Passive,True Damage,Attack
S158,H040,Shuriken Toss,Physical,Deals physical damage,"Attack, Movement"
S159,H040,Shadowstep,Mobility,Increases movement speed,Attack
S160,H040,Kunai Blitz,Physical,AoE Damage,Attack
S161,H041,"Martial Soul	",Passive,Basic attacks reduce cooldown,"Jungle, Attack"
S162,H041,Spin Slash,Physical,Deals physical damage to surrounding enemies,Attack
S163,H041,Fearless Charge,Physical,"Dashes in a specified direction, dealing physical damage and slowing enemies.Gains a shield absorbing damage",Defense
S164,H041,Dire Blow,True Damage,Becoming invulnerable before unleashing a strike dealing true damage,Defense
S165,H042,The Morning Star,Physical,Increases attack damage,Attack
S166,H042,Eagle Eye,Physical,Enhances basic attacks,Attack
S167,H042,Piercing Shot,Physical,Slows enemies,Attack
S168,H042,Arrow of Chaos,Physical,stuns enemies,Attack
S169,H043,Pocket Glaive,Physical,Movement Speed,Attack
S170,H043,"Bloody Hunt	",Physical,dealing AoE damage,Attack
S171,H043,Curse of Death,Physical,Stunning the target,Attack
S172,H043,Bullet Storm,Physical,AoE damage,Attack
S173,H044,"Royal Power	",Heal,"Gains damage resistance and heals when HP is low	",Defense
S174,H044,"Forward Charge	",Physical,"Dashes, knocking enemies back and dealing damage	","Defense, Movement"
S175,H044,Avalon's Fury,Physical,"Slams the ground, knocking up and slowing enemies	",Defense
S176,H044,King's Glory,True Damage,"Deals true damage and gains CC immunity	",Defense
S177,H045,Come Hither,Buff,Gains movement speed boost when exiting combat,Movement 
S178,H045,Hell Bat,Magic ,Launches a bat that deals magic damage,Magic 
S179,H045,Kisses,Magic ,"Sends out enchanted kisses, dealing  magic damage and stunning the target",Magic 
S180,H045,"Little Friends	",Magic ,Summons spirits that deal magic damage to enemies,Magic 
S181,H046,"Sand Trap	",Magic,"Targets hit by Azzen'Ka's skills are marked for 5 seconds. If hit 3 times, they turn to stone",Magic
S182,H046,"Sand Punch	",Magic,Summons a sand fist to attack enemies,Magic
S183,H046,"Dust Devil	",Magic,Releases a spirit that bounces between enemies,Magic
S184,H046,"Sand Wraith	",Magic,Summons a sandstorm at a target location,Magic
S185,H047,"The Touch	",Magic, Knocks back the target,Magic
S186,H047,Siege,Magic,Dashes forward,Magic
S187,H047,Miser,Magic,Dealing damage and stunning enemies,Magic
S188,H047,Debauchery,Magic,Dealing continuous magic damage and stunning enemies,Magic
S189,H048,"Tough Hide	", CC Immunity,"Gains CC immunity while casting skills	",Defense
S190,H048,"Bull Rush	",Physical,"Charges forward, dealing damage and knocking up enemies	","Defense, Movement"
S191,H048,"Brazen Bellow	",Magic,"Gains damage reduction and deals AoE damage	",Defense
S192,H048,"Earth Shatter	",Physical,"Slams the ground, knocking up enemies	",Defense
S193,H049,Reload ,"Physical	",Reduces Tactical Fire cooldown,Attack
S194,H049,"	Tactical Fire","Physical	",Enhance next basic attack with bonus damage,Attack
S195,H049,"Fire in the Hole	","Physical	","Deal AoE damage, reduce enemy movement speed",Attack
S196,H049,"Concussive Rounds	","Physical	",Deal high damage based on enemy lost HP,Attack
S197,H050,"Ice Queen	",Special,"If not attacked or controlled, gains a shield and magic damage reduction",Defense
S198,H050,"Chilling Frost	",Magic,"Freezes enemies in range, dealing magic damage and slowing movement speed",Magic
S199,H050,"Diamond Dust	",Magic,"Freezes enemies in range, can be stored up to 2 times. Bonus damage to frozen enemies.",Magic
S200,H050,Blizzard,Magic,"Summons a blizzard, dealing continuous magic damage and slowing enemies in range.	",Magic
S201,H051,Deathless ,Damage Reduction,lost HP into damage reduction,Defense
S202,H051,"Death Rift
",Physical ,Dashes forward deal additional  physical damage and slow enemy movement,"Attack, Jungle"
S203,H051,"Death's Flurry
",Physical ,Deals  physical damage per hit and heals Zephys  HP,Attack
S204,H051,"Death from Above
",Physical ,Dealing  physical damage while knocking enemies up,Attack
S205,H052,"Dread Judge	","Knock-up, Attack Speed Buff	",,"Attack, Attack Speed"
S206,H052,"Jury Fury	",Physical,"Dashes forward and knocks the target up, dealing  physical damage","Attack, Critical"
S207,H052,"Death Sentence	",Physical,Leaps backward and turns basic attacks into sweeping attacks,"Attack, Movement"
S208,H052,"Judgment's Blade	",Physical,"Slashes enemies furiously, knocking them up and dealing  physical damage while reducing incoming damage",Attack
S209,H053,Blood Ritual ,Magic,AoE Damage,"Defense, Magic"
S210,H053,Earthquake ,Magic,"Stomps the ground, dealing Magic Damage and slowing enemies",Magic
S211,H053,Devil's Chain,Magic,"Throws a chain hook, pulling enemies towards",Magic
S212,H053,World Devourer,Magic,"Creates a void, pulling all enemies in front of",Defense
S213,H054,"Sweet Revenge	",Physical,Movement Speed,Defense
S214,H054,"Whirling Scythe	",Physical,AoE Damage,Attack
S215,H054,"Death Scythe	",Physical,Control,Defense
S216,H054,"Dark Dominion	",Physical,Taunt,Defense
S217,H055,Hidden Weapons,Physical,Gains vision of enemies he has attacked,"Jungle, Attack"
S218,H055,"Thief's Mark	",Physical,"When reaching 4 stacks, the mark explodes, dealing bonus area damage.",Attack
S219,H055,Rolling Lightning,Physical,Rolls in a chosen direction (becomes untargetable while rolling).,Attack
S220,H055,Chain Hammer Cyclone,Physical,Affected enemies suffer 40% movement speed reduction,Attack
S221,H056,Dragoon ,Damage Boost,"Can use abilities to cleanse crowd control effects and gain additional attack power.	","Attack, Jungle"
S222,H056,Blood Wyrm,Physical,Increases movement speed and enhances the next normal attack.,"Attack, Movement"
S223,H056,Roar ,Physical,"Spins to attack nearby enemies, reducing their movement speed and healing himself.	",Attack
S224,H056,Dragon's Wrath,True Damage,"Leaps to attack the target, knocking them up and reducing their movement speed. Then enhances his normal attacks to deal true damage.",Attack
S225,H057,"Wicked Plot	",Magic ,All Aleister's skill damage applies a curse,Magic
S226,H057,"Magic Barrier	",Magic ,Creates a lightning barrier that stuns and damages enemies,Magic
S227,H057,"Matrix of Woe	",Magic ,Continuously damages enemies within the area,Magic
S228,H057,"Magic Prison	",Magic ,Traps enemies in a magic prison,Magic
S229,H058,Assassinate,Passive ,"Enhances skill execution upon enemy kill	",Attack
S230,H058,"Whirlwind	",Physical,Increases attack speed,Attack
S231,H058,"Sword Propel	",Physical,Dealing damage and slows enemy,Attack
S232,H058,"Backstab	",Physical,High burst damage and heals upon elimination,Attack
S233,H059,Protect,Physical,Grant Shield,Attack
S234,H059,"Stone Shatter	",Physical,Knock-up,Defense
S235,H059,Rampage,Physical,Damage Reduction,Defense
S236,H059,"Earth Splitter	",Magic,Knock-up,Defense
S237,H060,Blessed,Heal,"When Helen takes damage, gains movement speed",Support
S238,H060,"Healing Light	",Heal,Helen increases her movement speed and heals herself,Magic
S239,H060,"Forest Friend	",Magic,Helen releases a magical projectile and stuns,Magic
S240,H060,"Nature's Rally	",Heal,Creates a protective field granting  shield absorption and healing allies,Magic
S241,H061,Fierce Shot,Physical,AoE damage,Attack
S242,H061,Explosive Arrow,Physical,Slows enemy movement speed,Attack
S243,H061,"Precise Shot	",Physical,Knocks back,Attack
S244,H061,"Heavenly Barrage	",Physical,AoE damage,Attack
S245,H062,"Cursed Flame	",Magic,Using skills grants bonus magic damage and increases movement speed,Magic
S246,H062,"Arcane Spirits	",Magic,Summons 5 spirit orbs that deal magic damage to enemies,Magic
S247,H062,"Arcane Nova	",Magic,Fires an arcane ball that expands and stuns enemies,Magic
S248,H062,"Lethal Rays	",Magic,"Fires a laser beam, dealing magic damage, Grants a shield and CC immunity",Defense
S249,H063,Tyrant,Passive,Gains attack power and attack speed.,Attack
S250,H063,"Red Stallion	",Physical,"Charges in a specified direction, dealing damage.Can be used up to 3 times, reducing cooldown per use.The third hit knocks up enemies.","Attack, Movement"
S251,H063,Impale,Physical,"Slams his weapon to create a shockwave, dealing damage and slowing enemies.",Attack
S252,H063,Conqueror,Status Cleanse,"Cleanses control effects, restores HP, boosts attack power, and grants control immunity.",Defense
S253,H064,Tsunami ,Physical,Cresht's skills apply  slow for 2 sec,Defense
S254,H064,Typhoon ,Physical,"Swings his giant trident, knocking enemies back and stunning",Defense
S255,H064,Aquatic Shield,Defense,"Jumps to a target location, creating a shield for allies",Defense
S256,H064,Metamorphosis ,Physical,Transforms into his empowered form,Defense
S257,H065,Samsara,Magic,Releases an energy projectile dealing magic damage,Magic
S258,H065,"Battering Beads	",Magic,Deals magic damage to up to 2 enemies and restores HP when hitting heroes,Magic
S259,H065,"Sutra of Pain	",Magic,Deals magic damage to enemies and reduces their movement speed,Magic
S260,H065,"Nirvana	",Magic,"Deals magic damage , reduces incoming damage, and increases movement speed",Magic
S261,H066,Surviving Memory,Physical,Increase Damage,Defense
S262,H066,"Vanguard Mode	",Mobility,Knock-up,"Defense, Movement"
S263,H066,"Sacred Technology	",Physical,Stun,Defense
S264,H066,"Sacred Field	",Physical ,Knockback,Defense
S265,H067,Plunder,True Damage,"Maloch's normal attacks have increased range and deal true damage, also healing him.	","Attack, Defense"
S266,H067,Cleave,True Damage," Dealing physical damage. If empowered, it deals true damage and heals Maloch.","Attack, Defense"
S267,H067,"Souleater	",Physical,"Dealing slight physical damage, slowing enemies, and gaining a shield. If empowered, the shield is stronger.",Defense
S268,H067,Shock,Physical,"Dealing physical damage and knocking up enemies. If empowered, it deals true damage and knocks enemies higher.","Attack, Defense"
S269,H068,Soul Divide,Magic,Normal attacks become Soul Cuts,Magic
S270,H068,Soul Tidings,Magic,Teleports and deals damage,"Magic, Movement"
S271,H068,Elegy,Magic,Deals magic damage and recovers mana,Magic
S272,H068,Acknowledge,Magic,Dashes forward causing damage,Magic
S273,H069,Goddess,Magic ,Reducing cooldowns and enhancing next attack,Magic
S274,H069,"Divine Light	",Magic ,Creates an explosion of sacred light dealing magic damage,Magic
S275,H069,Banish,Magic ,"Knocks back enemies, reducing movement speed",Magic
S276,H069,Cataclysm,Magic ,Dealing massive magic damage and stunning enemies,Magic
S277,H070,"God of War	",Physical,Each attack enhances the next attack into a dash,"Attack, Critical"
S278,H070,"Shadow Clone	",Stealth,Vanishes and increases movement speed by,Movement
S279,H070,"Great Sage	",Mobility,Dashes and gains armor,Attack
S280,H070,"Monkey Business	",Physical,Deal physical damage and stun,Attack
S281,H071,Bite,Physical,Next normal attack after hitting an enemy with a skill deals Physical Damage,"Movement, Attack"
S282,H071,"Terrifying Plague	",Physical,"Marks a target with a sigil. If the target is hit again, the sigil explodes, dealing Physical Damage",Attack
S283,H071,"Evil Tentacles	",Physical,"Jumps to a target location, dealing Physical Damage","Attack, Critical"
S284,H071,"Fury of Flying Locusts	",Physical,"Kriknak flies for 6 seconds, increasing movement speed while flying","Attack, Lifesteal"
S285,H072,Paragon,Heal ,"Restores 2% HP every 2 seconds	","Defense, Support"
S286,H072,"Righteous Fervor	",Physical,"Increases movement speed and silences enemies	","Attack, Movement"
S287,H072,"Holy Guard	",Physical,"Deals AoE true damage and grants shield	","Defense, Magic"
S288,H072,"Deep Impact	",Magic,"Deals AoE damage and knocks up enemies	","Attack, Magic"
S289,H073,"Shrouded Wings	",Stealth,Vision Boost,Movement
S290,H073,"Whirlwind of Blood	",Physical ,"AoE Physical Damage, Executes Low HP","Attack, Critical"
S291,H073,"Bloodied Judgment	",Physical ,"Slow, Stun, Heal	",Attack
S292,H073,"Sanguinary End	",Physical ,"Physical Damage, Untargetable Dash	",Attack
S293,H074,Pierce,Physical,Increases attack damage,Attack
S294,H074,Flying Spear,Physical,Stuns enemies,Attack
S295,H074,Leap of Vitality,Mobility,Increases attack damage,"Movement, Attack"
S296,H074,Savage Potion,Buff,Increases attack power and movement speed,Attack
S297,H075,Infection,"Speed Boost	","Preyta moves faster than other heroes.	",Movement
S298,H075,"Lethal Pathogen	",Magic,"The pathogen is released, dealing AoE magic damage.",Magic
S299,H075,"Putrid Virus	",Magic,"Knocking back nearby enemies, dealing magic damage, and slowing them.",Magic
S300,H075,Plague Tentacles,Magic," Gaining a shield and increased movement speed. While empowered, normal attacks deal AoE magic damage",Magic
S301,H076,Dragon Blade,True Damage,Decrease Movement,Movement
S302,H076,Dragon Shuriken,Physical,Knockup,Attack
S303,H076,Swift Shadow,Movement,Special,Attack
S304,H076,Ryu no Ikari,Physical,Reduce Damage,Defense
S305,H077,"Blood Armor	",Magic ,Gains bonus magic resistance when attacking enemies,Defense
S306,H077,"Fury Strikes	 ",Physical,"Charges forward, dealing damage. If it hits an enemy, increases attack speed and boosts bonus magic damage.","Attack, Movement"
S307,H077,"Boiling Blood	",Magic,Increases movement speed and gradually enhances attack power,Magic
S308,H077,"Wild Beast Fury	",Physical,Unleashes a powerful punch that knocks back enemies.,"Attack, Defense"
S309,H078,"Fist Spirit	",Magic,"After using a skill, Raz can dash in a set direction, increasing movement speed",Magic
S310,H078,"Rising Dragon Fist	",Magic,"Raz dashes forward, dealing  magic damage and knocking the target airborne",Magic
S311,H078,"Power Surge	",Magic,"Raz releases a fireball, dealing magic damage to the first target hit, reducing their magic defense , and slowing them",Magic
S312,H078,"Odin's Fist	",Magic,"Raz dashes towards enemies in a straight line, dealing magic damage and knocking them back",Magic
S313,H079,"Divine Punishment	",True Damage,Deals true damage to enemies affected by Lauriel's skills and slows,Magic
S314,H079,"Holy Light	",Magic,Deals magic damage to enemies in front,Magic
S315,H079,Blink,Magic,"Dashes to the target direction, dealing magic damage and reducing cooldown",Magic
S316,H079,Smite,Magic,Creates a large magic zone that deals magic damage to enemies in the area and reduces the cooldown,Magic
S317,H080,"The Chi	",Passive,"Restores HP after combat	",Attack 
S318,H080,"Pain on a Stick	",Physical,"Leaps and deals AoE damage	",Attack 
S319,H080,"Panda Chariot	",Physical,"Rolls forward, dealing damage and gaining shield	",Attack 
S320,H080,Skyfall,Physical,"Jumps and stuns enemies upon landing	",Attack 
S321,H081,Thunderclap,Magic,"Every 5th auto-attack or skill cast triggers Lightning Orbs, dealing magic damage",Magic
S322,H081,"Ion Prisms	",Magic,"Releases three lightning bolts in a cone, dealing magic damage",Magic
S323,H081,"Lightning Strike	",Magic,"Teleports to a chosen location, dealing magic damage",Magic
S324,H081,"Thunderbird	",Magic, fires a lightning projectile that deals magic damage,Magic
S325,H082,Thirst ,"Attack Speed Boost	","Each normal attack builds up energy; when full, it increases attack speed and movement speed.	",Attack 
S326,H082,Death's Beckon,Physical,"Pulls enemies toward Omen, dealing physical damage.	",Attack 
S327,H082,"Untouchable	",Physical,"Reduces incoming damage and reflects a portion of it back at attackers.	",Defense 
S328,H082,Death's Embrace,Physical,Locks an enemy in place,Attack 
